UTC0;Input0;136_0;134_0;97_0;98_0;125_0;127_0;128_0 (Info_to_ignore: TickSize: 0.01 PointValue: 1000)
1/3/2019 6:03:00 PM;47.41;0;0.171739130434783;0.10526975870183;0.00599020958953674;0.9797657082002;77.0000000000003;137
1/3/2019 6:33:00 PM;47.41;0;0.15;0.109288074665763;0.00800682044277549;0.9797657082002;77.0000000000003;137
1/3/2019 7:03:00 PM;47.28;0;0.128260869565217;0.100820509399142;-0.000368595859076115;0.702875399361019;89.9999999999999;124
1/3/2019 7:27:00 PM;47.76;0;0.110869565217391;0.131328023684283;0.0241111347408517;1.72523961661341;42.0000000000002;172
1/3/2019 7:57:00 PM;47.74;0;0.0891304347826087;0.152137865090772;0.0359367809178727;1.68264110756123;43.9999999999998;170
1/3/2019 8:27:00 PM;47.75;0;0.0673913043478261;0.16750582784411;0.0410437949369685;1.70394036208732;43;171
1/3/2019 8:57:00 PM;47.81;0;0.0456521739130435;0.182423680966018;0.0447693184471011;1.83173588924388;36.9999999999997;177
1/3/2019 9:27:00 PM;47.86;0;0.0239130434782609;0.196021159269897;0.0466934374007841;1.93823216187433;32;182
1/3/2019 9:57:00 PM;47.51;0;0.00217391304347826;0.176520366952197;0.0217541160664671;1.19275825346112;67.0000000000002;147
1/3/2019 10:00:00 PM;47.52;1;0;0.160028061096988;0.00420944816900637;1.21405750798722;65.9999999999997;148
1/3/2019 11:30:00 PM;47.63;0;0.978260869565217;0.154057986012745;-0.00140850153218883;0.0840512712754763;5.99999999999952;12.0000000000005
1/4/2019 12:00:00 AM;47.6;0;0.956521739130435;0.145231767801299;-0.00818777579490806;0.0210128178188653;8.99999999999963;9.00000000000034
1/4/2019 12:30:00 AM;47.49;0;0.934782608695652;0.127886647917101;-0.0204263165432844;-0.210128178188698;19.9999999999996;14.9999999999999
1/4/2019 1:00:00 AM;47.6;0;0.91304347826087;0.121614697604223;-0.0213586134849307;0.0210128178188653;18;25.9999999999998
1/4/2019 1:30:00 AM;47.38;0;0.891304347826087;0.0977649963892375;-0.0361666517599325;-0.441269174196261;39.9999999999999;3.99999999999991
1/4/2019 2:00:00 AM;47.55;0;0.869565217391304;0.0915264555924438;-0.033924154045381;-0.0840512712754912;23.0000000000004;20.9999999999994
1/4/2019 2:30:00 AM;47.66;0;0.847826086956522;0.0943706021978841;-0.0248640059519526;0.147089724732072;12.0000000000005;31.9999999999993
